影片 ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5
ypD4PN626zI,4T Recordings,Sixteen Oceans,Four Tet,,,,
4zaRsNzKzcQ,4U,4U,万妮达,,,,
T-wrtBHG94c,852 Hz (Truth & Self-Awareness),Solfeggio Frequencies (Healing Tibetan Singing Bowls with Ambient Sounds of Nature),Subtle Mind Expansion,Kev Thompson,,,
s82EUdc2Des,人生模版,隐藏菜单,和平饭店,,,,
_zOeI7yj-oI,口是心非,如燕盤旋而來的思念 張雨生全創作精選典藏 1966-1997,張雨生,,,,
GpH4rRAEqYI,五元素净化咒 (念咒式纯音乐),平静心,周毛嘉,,,,
8CDk2baChyg,心静自然凉,我用什么把你留住,福禄寿,,,,
PCS3GZpitbA,月光下,月光,蛋堡,,,,
batbW2Ik8tU,兰若度母,我用什么把你留住,福禄寿,,,,
P4XuwuoIEDM,平衡,平衡,和平饭店,,,,
CVobcKf9nns,玉珍,我用什么把你留住,福禄寿,,,,
9OOm-zODOTU,在你走后,在你走后,Schoolgirl Byebye,Haysen郑景曦,,,
gPpuEYtAtm8,在时间的答案里,隐藏菜单,和平饭店,,,,
bG5KAtG_OQU,尾巴,平衡,和平饭店,,,,
WVXD3_nb0Yk,我想和你瞎 ft. 馬念先,水哥 2020,李英宏 aka DJ Didilong,,,,
fWfUhUvnpsE,沈澱,暗流,deca joins,,,,
W57Lm88NFZM,没咯,我用什么把你留住,福禄寿,,,,
RDJETsQwPZo,夜上海,金片子 2 魂縈舊夢 (Golden Voice 2),蔡琴 (Tsai Chin),,,,
90VBTdFzM2U,怪梦,怪梦,AM444,,,,
8PKBd6Y9oWI,雨中一只傻傻鸟,一年后,Schoolgirl Byebye,,,,
LUoYCsKsiI4,流星小夜曲,鴉片玫瑰,陳昇,,,,
HFuZ33kKFlw,看不見？,閉上眼睛,Hello Nico,,,,
vq2jzaSESLk,若是明仔載,自本,曹雅雯,?te 壞特,,,
5gLZnEDdHFE,夏夜晚風,夏夜晚風,Layton Wu,,,,
w_jtUvdBjFo,浪費時間 Waste Of Time,平庸之上 Beyond Mediocrity,9m88,,,,
3kYy-6a6MSY,浴室 (2019 Reprise),浴室 (2019 Reprise),deca joins,,,,
TQgFmA1Nnu4,真愛A感覺,魔鬼A春天,陳昇,,,,
NxcbxxU6saE,般若心経 (cho ver.) [2020 mix],般若心経 (Remixed) -Japanese Zen Music vol.1-,Kanho Yakushiji,,,,
JVRAdxbJFAs,般若波羅密多心經,懺悔心,黃慧音,,,,
